original_task_id,static_decision,static_reasons,priority_score,expected_terminal_action,persona_level,num_blockers,blocker_family_tags,profile_switch_bucket,prior_calibration,forced_profile_note
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting[PERSONA:Easy],candidate,,-73.0,repair_all,Easy,4,apn|wifi_calling|network_preference,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions[PERSONA:Easy],candidate,,-73.0,repair_all,Easy,4,apn|permission|wifi_calling,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission[PERSONA:None],candidate,,-73.0,repair_all,None,4,apn|permission|wifi_calling,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|data_mode_off[PERSONA:None],candidate,,-73.0,repair_all,None,4,apn|wifi_calling|data_mode,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission[PERSONA:None],candidate,,-73.0,repair_all,None,4,apn|permission|wifi_calling|network_preference,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission[PERSONA:Easy],candidate,,-73.0,repair_all,Easy,4,apn|permission|wifi_calling|network_preference,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|data_mode_off[PERSONA:None],candidate,,-73.0,repair_all,None,4,apn|wifi_calling|network_preference|data_mode,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off[PERSONA:None],candidate,,-73.0,repair_all,None,4,apn|permission|wifi_calling|data_mode,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off[PERSONA:Easy],candidate,,-73.0,repair_all,Easy,4,apn|permission|wifi_calling|data_mode,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card[PERSONA:Hard],candidate,,-72.0,repair_all,Hard,6,apn|permission|wifi_calling|network_preference|sim,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card[PERSONA:None],candidate,,-72.0,repair_all,None,7,apn|permission|wifi_calling|network_preference|sim|data_mode,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|unseat_sim_card[PERSONA:Easy],candidate,,-72.0,repair_all,Easy,7,apn|permission|wifi_calling|network_preference|sim|data_mode,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_wifi_calling|break_app_both_permissions|unseat_sim_card[PERSONA:Hard],candidate,,-71.0,repair_all,Hard,3,permission|wifi_calling|sim,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|unseat_sim_card[PERSONA:Easy],candidate,,-71.0,repair_all,Easy,4,wifi_calling|network_preference|sim,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_both_permissions|unseat_sim_card[PERSONA:None],candidate,,-71.0,repair_all,None,4,permission|wifi_calling|sim,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission|unseat_sim_card[PERSONA:Easy],candidate,,-71.0,repair_all,Easy,4,permission|wifi_calling|sim,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission|unseat_sim_card[PERSONA:None],candidate,,-71.0,repair_all,None,4,permission|wifi_calling|network_preference|sim,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_network_preference|bad_wifi_calling|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],candidate,,-71.0,repair_all,Easy,4,permission|wifi_calling|network_preference|sim,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_wifi_calling|break_app_both_permissions|data_mode_off|unseat_sim_card[PERSONA:Easy],candidate,,-71.0,repair_all,Easy,4,permission|wifi_calling|sim|data_mode,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_wifi_calling|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],candidate,,-71.0,repair_all,Easy,4,permission|wifi_calling|sim|roaming_enabled_off,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_wifi_calling|break_app_storage_permission|data_mode_off|unseat_sim_card[PERSONA:None],candidate,,-71.0,repair_all,None,4,permission|wifi_calling|sim|data_mode,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_wifi_calling|break_app_storage_permission|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],candidate,,-71.0,repair_all,None,4,permission|wifi_calling|sim|roaming_enabled_off,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_wifi_calling|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],candidate,,-71.0,repair_all,None,4,wifi_calling|sim|data_mode|roaming_enabled_off,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission[PERSONA:Hard],candidate,,-70.0,repair_all,Hard,4,apn|permission|wifi_calling,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
