original_task_id,static_decision,static_reasons,priority_score,expected_terminal_action,persona_level,num_blockers,blocker_family_tags,profile_switch_bucket,prior_calibration
[mms_issue]break_apn_mms_setting|user_abroad_roaming_disabled_off[PERSONA:Hard],static_delete,static_exclude_transfer_oracle;static_exclude_hybrid_roaming_disabled_off,1000.0,transfer,Hard,2,apn|hybrid_roaming_disabled_off,neutral_other,
[mms_issue]break_app_sms_permission|user_abroad_roaming_disabled_off[PERSONA:None],static_delete,static_exclude_transfer_oracle;static_exclude_hybrid_roaming_disabled_off,1000.0,transfer,None,2,permission|hybrid_roaming_disabled_off,neutral_other,
[mms_issue]break_app_storage_permission|user_abroad_roaming_disabled_off[PERSONA:Easy],static_delete,static_exclude_transfer_oracle;static_exclude_hybrid_roaming_disabled_off,1000.0,transfer,Easy,2,permission|hybrid_roaming_disabled_off,neutral_other,
[mms_issue]break_app_both_permissions|user_abroad_roaming_disabled_off[PERSONA:Hard],static_delete,static_exclude_transfer_oracle;static_exclude_hybrid_roaming_disabled_off,1000.0,transfer,Hard,2,permission|hybrid_roaming_disabled_off,neutral_other,
[mms_issue]bad_network_preference|bad_wifi_calling[PERSONA:None],candidate,,-128.0,repair_all,None,2,wifi_calling|network_preference,trap_favoring,
[mms_issue]bad_network_preference|break_apn_mms_setting[PERSONA:Easy],candidate,,-36.0,repair_all,Easy,2,apn|network_preference,neutral_other,
[mms_issue]bad_network_preference|break_app_sms_permission[PERSONA:Hard],candidate,,-119.0,repair_all,Hard,2,permission|network_preference,trap_favoring,
[mms_issue]bad_network_preference|break_app_storage_permission[PERSONA:None],candidate,,126.0,repair_all,None,2,permission|network_preference,trap_favoring,delete
[mms_issue]bad_network_preference|break_app_both_permissions[PERSONA:Easy],candidate,,-108.0,repair_all,Easy,2,permission|network_preference,trap_favoring,
[mms_issue]bad_wifi_calling|break_apn_mms_setting[PERSONA:Hard],candidate,,-45.0,repair_all,Hard,2,apn|wifi_calling,neutral_other,
[mms_issue]bad_wifi_calling|break_app_sms_permission[PERSONA:None],candidate,,-134.0,repair_all,None,2,permission|wifi_calling,trap_favoring,
[mms_issue]bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],candidate,,-636.0,repair_all,Easy,2,permission|wifi_calling,trap_favoring,keep
[mms_issue]bad_wifi_calling|break_app_both_permissions[PERSONA:Hard],candidate,,-117.0,repair_all,Hard,2,permission|wifi_calling,trap_favoring,
[mms_issue]break_apn_mms_setting|break_app_sms_permission[PERSONA:None],candidate,,-42.0,repair_all,None,2,apn|permission,neutral_other,
[mms_issue]break_apn_mms_setting|break_app_storage_permission[PERSONA:Easy],candidate,,-44.0,repair_all,Easy,2,apn|permission,neutral_other,
[mms_issue]break_apn_mms_setting|break_app_both_permissions[PERSONA:Hard],candidate,,-25.0,repair_all,Hard,2,apn|permission,neutral_other,
[mms_issue]airplane_mode_on|bad_network_preference|unseat_sim_card[PERSONA:None],candidate,,-34.0,repair_all,None,3,network_preference|sim,neutral_other,
[mms_issue]airplane_mode_on|bad_wifi_calling|unseat_sim_card[PERSONA:Easy],candidate,,-46.0,repair_all,Easy,3,wifi_calling|sim,neutral_other,
[mms_issue]airplane_mode_on|break_apn_mms_setting|unseat_sim_card[PERSONA:Hard],candidate,,-31.0,repair_all,Hard,3,apn|sim,neutral_other,
[mms_issue]airplane_mode_on|break_app_sms_permission|unseat_sim_card[PERSONA:None],candidate,,-40.0,repair_all,None,3,permission|sim,neutral_other,
[mms_issue]airplane_mode_on|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],candidate,,-42.0,repair_all,Easy,3,permission|sim,neutral_other,
[mms_issue]airplane_mode_on|break_app_both_permissions|unseat_sim_card[PERSONA:Hard],candidate,,-23.0,repair_all,Hard,3,permission|sim,neutral_other,
[mms_issue]airplane_mode_on|bad_network_preference|data_mode_off[PERSONA:None],candidate,,-114.0,repair_all,None,3,network_preference|data_mode,trap_favoring,
[mms_issue]airplane_mode_on|bad_wifi_calling|data_mode_off[PERSONA:Easy],candidate,,-126.0,repair_all,Easy,3,wifi_calling|data_mode,trap_favoring,
[mms_issue]airplane_mode_on|break_apn_mms_setting|data_mode_off[PERSONA:Hard],candidate,,-31.0,repair_all,Hard,3,apn|data_mode,neutral_other,
[mms_issue]airplane_mode_on|break_app_sms_permission|data_mode_off[PERSONA:None],candidate,,-120.0,repair_all,None,3,permission|data_mode,trap_favoring,
[mms_issue]airplane_mode_on|break_app_storage_permission|data_mode_off[PERSONA:Easy],candidate,,-122.0,repair_all,Easy,3,permission|data_mode,trap_favoring,
[mms_issue]airplane_mode_on|break_app_both_permissions|data_mode_off[PERSONA:Hard],candidate,,-103.0,repair_all,Hard,3,permission|data_mode,trap_favoring,
[mms_issue]airplane_mode_on|bad_network_preference|data_usage_exceeded[PERSONA:None],candidate,,-87.0,repair_subset,None,3,network_preference|data_usage_exceeded,trap_favoring,
[mms_issue]airplane_mode_on|bad_wifi_calling|data_usage_exceeded[PERSONA:Easy],candidate,,-99.0,repair_subset,Easy,3,wifi_calling|data_usage_exceeded,trap_favoring,
[mms_issue]airplane_mode_on|break_apn_mms_setting|data_usage_exceeded[PERSONA:Hard],candidate,,-4.0,repair_subset,Hard,3,apn|data_usage_exceeded,neutral_other,
[mms_issue]airplane_mode_on|break_app_sms_permission|data_usage_exceeded[PERSONA:None],candidate,,-93.0,repair_subset,None,3,permission|data_usage_exceeded,trap_favoring,
[mms_issue]airplane_mode_on|break_app_storage_permission|data_usage_exceeded[PERSONA:Easy],candidate,,-95.0,repair_subset,Easy,3,permission|data_usage_exceeded,trap_favoring,
[mms_issue]airplane_mode_on|break_app_both_permissions|data_usage_exceeded[PERSONA:Hard],candidate,,174.0,repair_subset,Hard,3,permission|data_usage_exceeded,trap_favoring,delete
[mms_issue]airplane_mode_on|bad_network_preference|user_abroad_roaming_enabled_off[PERSONA:None],candidate,,-34.0,repair_all,None,3,network_preference|roaming_enabled_off,neutral_other,
[mms_issue]airplane_mode_on|bad_wifi_calling|user_abroad_roaming_enabled_off[PERSONA:Easy],candidate,,-46.0,repair_all,Easy,3,wifi_calling|roaming_enabled_off,neutral_other,
[mms_issue]airplane_mode_on|break_apn_mms_setting|user_abroad_roaming_enabled_off[PERSONA:Hard],candidate,,-31.0,repair_all,Hard,3,apn|roaming_enabled_off,neutral_other,
[mms_issue]airplane_mode_on|break_app_sms_permission|user_abroad_roaming_enabled_off[PERSONA:None],candidate,,-40.0,repair_all,None,3,permission|roaming_enabled_off,neutral_other,
[mms_issue]airplane_mode_on|break_app_storage_permission|user_abroad_roaming_enabled_off[PERSONA:Easy],candidate,,-42.0,repair_all,Easy,3,permission|roaming_enabled_off,neutral_other,
[mms_issue]airplane_mode_on|break_app_both_permissions|user_abroad_roaming_enabled_off[PERSONA:Hard],candidate,,-23.0,repair_all,Hard,3,permission|roaming_enabled_off,neutral_other,
[mms_issue]airplane_mode_on|bad_network_preference|user_abroad_roaming_disabled_on[PERSONA:None],candidate,,-11.0,repair_subset,None,3,network_preference|roaming_disabled_on,neutral_other,
[mms_issue]airplane_mode_on|bad_wifi_calling|user_abroad_roaming_disabled_on[PERSONA:Easy],candidate,,-23.0,repair_subset,Easy,3,wifi_calling|roaming_disabled_on,neutral_other,
[mms_issue]airplane_mode_on|break_apn_mms_setting|user_abroad_roaming_disabled_on[PERSONA:Hard],candidate,,-8.0,repair_subset,Hard,3,apn|roaming_disabled_on,neutral_other,
[mms_issue]airplane_mode_on|break_app_sms_permission|user_abroad_roaming_disabled_on[PERSONA:None],candidate,,-17.0,repair_subset,None,3,permission|roaming_disabled_on,neutral_other,
[mms_issue]airplane_mode_on|break_app_storage_permission|user_abroad_roaming_disabled_on[PERSONA:Easy],candidate,,-19.0,repair_subset,Easy,3,permission|roaming_disabled_on,neutral_other,
[mms_issue]airplane_mode_on|break_app_both_permissions|user_abroad_roaming_disabled_on[PERSONA:Hard],candidate,,0.0,repair_subset,Hard,3,permission|roaming_disabled_on,neutral_other,
[mms_issue]airplane_mode_on|bad_network_preference|user_abroad_roaming_disabled_off[PERSONA:None],static_delete,static_exclude_transfer_oracle;static_exclude_hybrid_roaming_disabled_off,1000.0,transfer,None,3,network_preference|hybrid_roaming_disabled_off,neutral_other,
[mms_issue]airplane_mode_on|bad_wifi_calling|user_abroad_roaming_disabled_off[PERSONA:Easy],static_delete,static_exclude_transfer_oracle;static_exclude_hybrid_roaming_disabled_off,1000.0,transfer,Easy,3,wifi_calling|hybrid_roaming_disabled_off,neutral_other,
[mms_issue]airplane_mode_on|break_apn_mms_setting|user_abroad_roaming_disabled_off[PERSONA:Hard],static_delete,static_exclude_transfer_oracle;static_exclude_hybrid_roaming_disabled_off,1000.0,transfer,Hard,3,apn|hybrid_roaming_disabled_off,neutral_other,
[mms_issue]airplane_mode_on|break_app_sms_permission|user_abroad_roaming_disabled_off[PERSONA:None],static_delete,static_exclude_transfer_oracle;static_exclude_hybrid_roaming_disabled_off,1000.0,transfer,None,3,permission|hybrid_roaming_disabled_off,neutral_other,
[mms_issue]airplane_mode_on|break_app_storage_permission|user_abroad_roaming_disabled_off[PERSONA:Easy],static_delete,static_exclude_transfer_oracle;static_exclude_hybrid_roaming_disabled_off,1000.0,transfer,Easy,3,permission|hybrid_roaming_disabled_off,neutral_other,
[mms_issue]airplane_mode_on|break_app_both_permissions|user_abroad_roaming_disabled_off[PERSONA:Hard],static_delete,static_exclude_transfer_oracle;static_exclude_hybrid_roaming_disabled_off,1000.0,transfer,Hard,3,permission|hybrid_roaming_disabled_off,neutral_other,
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling[PERSONA:None],candidate,,-126.0,repair_all,None,3,wifi_calling|network_preference,trap_favoring,
[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting[PERSONA:Easy],candidate,,-34.0,repair_all,Easy,3,apn|network_preference,neutral_other,
[mms_issue]airplane_mode_on|bad_network_preference|break_app_sms_permission[PERSONA:Hard],candidate,,133.0,repair_all,Hard,3,permission|network_preference,trap_favoring,delete
[mms_issue]airplane_mode_on|bad_network_preference|break_app_storage_permission[PERSONA:None],candidate,,-122.0,repair_all,None,3,permission|network_preference,trap_favoring,
[mms_issue]airplane_mode_on|bad_network_preference|break_app_both_permissions[PERSONA:Easy],candidate,,-106.0,repair_all,Easy,3,permission|network_preference,trap_favoring,
[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting[PERSONA:Hard],candidate,,-43.0,repair_all,Hard,3,apn|wifi_calling,neutral_other,
[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None],candidate,,-632.0,repair_all,None,3,permission|wifi_calling,trap_favoring,keep
[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],candidate,,-634.0,repair_all,Easy,3,permission|wifi_calling,trap_favoring,keep
[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_both_permissions[PERSONA:Hard],candidate,,-115.0,repair_all,Hard,3,permission|wifi_calling,trap_favoring,
[mms_issue]airplane_mode_on|break_apn_mms_setting|break_app_sms_permission[PERSONA:None],candidate,,210.0,repair_all,None,3,apn|permission,neutral_other,delete
[mms_issue]airplane_mode_on|break_apn_mms_setting|break_app_storage_permission[PERSONA:Easy],candidate,,208.0,repair_all,Easy,3,apn|permission,neutral_other,delete
[mms_issue]airplane_mode_on|break_apn_mms_setting|break_app_both_permissions[PERSONA:Hard],candidate,,-23.0,repair_all,Hard,3,apn|permission,neutral_other,
[mms_issue]bad_network_preference|data_mode_off|unseat_sim_card[PERSONA:None],candidate,,-34.0,repair_all,None,3,network_preference|sim|data_mode,neutral_other,
[mms_issue]bad_wifi_calling|data_mode_off|unseat_sim_card[PERSONA:Easy],candidate,,-46.0,repair_all,Easy,3,wifi_calling|sim|data_mode,neutral_other,
[mms_issue]break_apn_mms_setting|data_mode_off|unseat_sim_card[PERSONA:Hard],candidate,,-31.0,repair_all,Hard,3,apn|sim|data_mode,neutral_other,
[mms_issue]break_app_sms_permission|data_mode_off|unseat_sim_card[PERSONA:None],candidate,,-40.0,repair_all,None,3,permission|sim|data_mode,neutral_other,
[mms_issue]break_app_storage_permission|data_mode_off|unseat_sim_card[PERSONA:Easy],candidate,,-42.0,repair_all,Easy,3,permission|sim|data_mode,neutral_other,
[mms_issue]break_app_both_permissions|data_mode_off|unseat_sim_card[PERSONA:Hard],candidate,,-23.0,repair_all,Hard,3,permission|sim|data_mode,neutral_other,
[mms_issue]bad_network_preference|data_usage_exceeded|unseat_sim_card[PERSONA:None],candidate,,-7.0,repair_subset,None,3,network_preference|sim|data_usage_exceeded,neutral_other,
[mms_issue]bad_wifi_calling|data_usage_exceeded|unseat_sim_card[PERSONA:Easy],candidate,,-19.0,repair_subset,Easy,3,wifi_calling|sim|data_usage_exceeded,neutral_other,
[mms_issue]break_apn_mms_setting|data_usage_exceeded|unseat_sim_card[PERSONA:Hard],candidate,,-4.0,repair_subset,Hard,3,apn|sim|data_usage_exceeded,neutral_other,
[mms_issue]break_app_sms_permission|data_usage_exceeded|unseat_sim_card[PERSONA:None],candidate,,-13.0,repair_subset,None,3,permission|sim|data_usage_exceeded,neutral_other,
[mms_issue]break_app_storage_permission|data_usage_exceeded|unseat_sim_card[PERSONA:Easy],candidate,,-15.0,repair_subset,Easy,3,permission|sim|data_usage_exceeded,neutral_other,
[mms_issue]break_app_both_permissions|data_usage_exceeded|unseat_sim_card[PERSONA:Hard],candidate,,4.0,repair_subset,Hard,3,permission|sim|data_usage_exceeded,neutral_other,
[mms_issue]bad_network_preference|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],candidate,,-34.0,repair_all,None,3,network_preference|sim|roaming_enabled_off,neutral_other,
[mms_issue]bad_wifi_calling|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],candidate,,-46.0,repair_all,Easy,3,wifi_calling|sim|roaming_enabled_off,neutral_other,
[mms_issue]break_apn_mms_setting|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],candidate,,-31.0,repair_all,Hard,3,apn|sim|roaming_enabled_off,neutral_other,
[mms_issue]break_app_sms_permission|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],candidate,,-40.0,repair_all,None,3,permission|sim|roaming_enabled_off,neutral_other,
[mms_issue]break_app_storage_permission|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],candidate,,-42.0,repair_all,Easy,3,permission|sim|roaming_enabled_off,neutral_other,
[mms_issue]break_app_both_permissions|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],candidate,,-23.0,repair_all,Hard,3,permission|sim|roaming_enabled_off,neutral_other,
[mms_issue]bad_network_preference|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],candidate,,-11.0,repair_subset,None,3,network_preference|sim|roaming_disabled_on,neutral_other,
[mms_issue]bad_wifi_calling|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy],candidate,,-23.0,repair_subset,Easy,3,wifi_calling|sim|roaming_disabled_on,neutral_other,
[mms_issue]break_apn_mms_setting|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],candidate,,-8.0,repair_subset,Hard,3,apn|sim|roaming_disabled_on,neutral_other,
[mms_issue]break_app_sms_permission|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],candidate,,-17.0,repair_subset,None,3,permission|sim|roaming_disabled_on,neutral_other,
[mms_issue]break_app_storage_permission|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy],candidate,,-19.0,repair_subset,Easy,3,permission|sim|roaming_disabled_on,neutral_other,
[mms_issue]break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],candidate,,0.0,repair_subset,Hard,3,permission|sim|roaming_disabled_on,neutral_other,
[mms_issue]bad_network_preference|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:None],static_delete,static_exclude_transfer_oracle;static_exclude_hybrid_roaming_disabled_off,1000.0,transfer,None,3,network_preference|sim|hybrid_roaming_disabled_off,neutral_other,
[mms_issue]bad_wifi_calling|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],static_delete,static_exclude_transfer_oracle;static_exclude_hybrid_roaming_disabled_off,1000.0,transfer,Easy,3,wifi_calling|sim|hybrid_roaming_disabled_off,neutral_other,
[mms_issue]break_apn_mms_setting|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Hard],static_delete,static_exclude_transfer_oracle;static_exclude_hybrid_roaming_disabled_off,1000.0,transfer,Hard,3,apn|sim|hybrid_roaming_disabled_off,neutral_other,
[mms_issue]break_app_sms_permission|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:None],static_delete,static_exclude_transfer_oracle;static_exclude_hybrid_roaming_disabled_off,1000.0,transfer,None,3,permission|sim|hybrid_roaming_disabled_off,neutral_other,
[mms_issue]break_app_storage_permission|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],static_delete,static_exclude_transfer_oracle;static_exclude_hybrid_roaming_disabled_off,1000.0,transfer,Easy,3,permission|sim|hybrid_roaming_disabled_off,neutral_other,
[mms_issue]break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Hard],static_delete,static_exclude_transfer_oracle;static_exclude_hybrid_roaming_disabled_off,1000.0,transfer,Hard,3,permission|sim|hybrid_roaming_disabled_off,neutral_other,
[mms_issue]bad_network_preference|bad_wifi_calling|unseat_sim_card[PERSONA:None],candidate,,-46.0,repair_all,None,3,wifi_calling|network_preference|sim,neutral_other,
[mms_issue]bad_network_preference|break_apn_mms_setting|unseat_sim_card[PERSONA:Easy],candidate,,-34.0,repair_all,Easy,3,apn|network_preference|sim,neutral_other,
[mms_issue]bad_network_preference|break_app_sms_permission|unseat_sim_card[PERSONA:Hard],candidate,,-37.0,repair_all,Hard,3,permission|network_preference|sim,neutral_other,
[mms_issue]bad_network_preference|break_app_storage_permission|unseat_sim_card[PERSONA:None],candidate,,-42.0,repair_all,None,3,permission|network_preference|sim,neutral_other,
[mms_issue]bad_network_preference|break_app_both_permissions|unseat_sim_card[PERSONA:Easy],candidate,,-26.0,repair_all,Easy,3,permission|network_preference|sim,neutral_other,
[mms_issue]bad_wifi_calling|break_apn_mms_setting|unseat_sim_card[PERSONA:Hard],candidate,,-43.0,repair_all,Hard,3,apn|wifi_calling|sim,neutral_other,
[mms_issue]bad_wifi_calling|break_app_sms_permission|unseat_sim_card[PERSONA:None],candidate,,-52.0,repair_all,None,3,permission|wifi_calling|sim,neutral_other,
[mms_issue]bad_wifi_calling|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],candidate,,-54.0,repair_all,Easy,3,permission|wifi_calling|sim,neutral_other,
[mms_issue]bad_wifi_calling|break_app_both_permissions|unseat_sim_card[PERSONA:Hard],candidate,,-35.0,repair_all,Hard,3,permission|wifi_calling|sim,neutral_other,
[mms_issue]break_apn_mms_setting|break_app_sms_permission|unseat_sim_card[PERSONA:None],candidate,,-40.0,repair_all,None,3,apn|permission|sim,neutral_other,
[mms_issue]break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],candidate,,-42.0,repair_all,Easy,3,apn|permission|sim,neutral_other,
[mms_issue]break_apn_mms_setting|break_app_both_permissions|unseat_sim_card[PERSONA:Hard],candidate,,-23.0,repair_all,Hard,3,apn|permission|sim,neutral_other,
[mms_issue]bad_network_preference|data_mode_off|data_usage_exceeded[PERSONA:None],candidate,,-87.0,repair_subset,None,3,network_preference|data_mode|data_usage_exceeded,trap_favoring,
[mms_issue]bad_wifi_calling|data_mode_off|data_usage_exceeded[PERSONA:Easy],candidate,,-99.0,repair_subset,Easy,3,wifi_calling|data_mode|data_usage_exceeded,trap_favoring,
[mms_issue]break_apn_mms_setting|data_mode_off|data_usage_exceeded[PERSONA:Hard],candidate,,-4.0,repair_subset,Hard,3,apn|data_mode|data_usage_exceeded,neutral_other,
[mms_issue]break_app_sms_permission|data_mode_off|data_usage_exceeded[PERSONA:None],candidate,,-93.0,repair_subset,None,3,permission|data_mode|data_usage_exceeded,trap_favoring,
[mms_issue]break_app_storage_permission|data_mode_off|data_usage_exceeded[PERSONA:Easy],candidate,,-95.0,repair_subset,Easy,3,permission|data_mode|data_usage_exceeded,trap_favoring,
[mms_issue]break_app_both_permissions|data_mode_off|data_usage_exceeded[PERSONA:Hard],candidate,,-76.0,repair_subset,Hard,3,permission|data_mode|data_usage_exceeded,trap_favoring,
[mms_issue]bad_network_preference|data_mode_off|user_abroad_roaming_enabled_off[PERSONA:None],candidate,,-34.0,repair_all,None,3,network_preference|data_mode|roaming_enabled_off,neutral_other,
[mms_issue]bad_wifi_calling|data_mode_off|user_abroad_roaming_enabled_off[PERSONA:Easy],candidate,,-46.0,repair_all,Easy,3,wifi_calling|data_mode|roaming_enabled_off,neutral_other,
