experiment,seed,method_short,method,regime,snapshot_episode_index,snapshot_episode_1based,rank,child_id,base_alias,prob,distribution_kind
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,freeze_layer1_post_switch,5,6,1,stage1_n1__from__root__c01,stage1_n1,0.23642327431489932,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,freeze_layer1_post_switch,5,6,2,stage1_n2__from__root__c02,stage1_n2,0.23642327431489932,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,freeze_layer1_post_switch,5,6,3,stage1_n3__from__root__c03,stage1_n3,0.23642327431489932,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,freeze_layer1_post_switch,5,6,4,stage1_n4__from__root__c04,stage1_n4,0.23642327431489932,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,freeze_layer1_post_switch,5,6,5,stage1_n5__from__root__c05,stage1_n5,0.05430690274040278,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,eps,epsilon_exp3,freeze_layer1_post_switch,5,6,1,stage1_n1__from__root__c01,stage1_n1,0.23642327431489932,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,eps,epsilon_exp3,freeze_layer1_post_switch,5,6,2,stage1_n2__from__root__c02,stage1_n2,0.23642327431489932,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,eps,epsilon_exp3,freeze_layer1_post_switch,5,6,3,stage1_n3__from__root__c03,stage1_n3,0.23642327431489932,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,eps,epsilon_exp3,freeze_layer1_post_switch,5,6,4,stage1_n4__from__root__c04,stage1_n4,0.23642327431489932,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,eps,epsilon_exp3,freeze_layer1_post_switch,5,6,5,stage1_n5__from__root__c05,stage1_n5,0.05430690274040278,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,exp,direct_multistage_exp3,dynamic,5,6,1,stage1_n1__from__root__c01,stage1_n1,0.12242489824773983,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,exp,direct_multistage_exp3,dynamic,5,6,2,stage1_n2__from__root__c02,stage1_n2,0.35035417792352136,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,exp,direct_multistage_exp3,dynamic,5,6,3,stage1_n3__from__root__c03,stage1_n3,0.35035417792352136,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,exp,direct_multistage_exp3,dynamic,5,6,4,stage1_n4__from__root__c04,stage1_n4,0.0986921620764707,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,exp,direct_multistage_exp3,dynamic,5,6,5,stage1_n5__from__root__c05,stage1_n5,0.0781745838287468,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,exp,direct_multistage_exp3,dynamic,5,6,1,stage1_n1__from__root__c01,stage1_n1,0.0018238580801703532,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,exp,direct_multistage_exp3,dynamic,5,6,2,stage1_n2__from__root__c02,stage1_n2,0.37937246629379695,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,exp,direct_multistage_exp3,dynamic,5,6,3,stage1_n3__from__root__c03,stage1_n3,0.37937246629379695,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,exp,direct_multistage_exp3,dynamic,5,6,4,stage1_n4__from__root__c04,stage1_n4,0.13256481158375277,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,exp,direct_multistage_exp3,dynamic,5,6,5,stage1_n5__from__root__c05,stage1_n5,0.10686639774848303,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,exp,direct_multistage_exp3,freeze_layer1_post_switch,5,6,1,stage1_n1__from__root__c01,stage1_n1,0.12242489824773983,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,exp,direct_multistage_exp3,freeze_layer1_post_switch,5,6,2,stage1_n2__from__root__c02,stage1_n2,0.35035417792352136,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,exp,direct_multistage_exp3,freeze_layer1_post_switch,5,6,3,stage1_n3__from__root__c03,stage1_n3,0.35035417792352136,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,exp,direct_multistage_exp3,freeze_layer1_post_switch,5,6,4,stage1_n4__from__root__c04,stage1_n4,0.0986921620764707,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,exp,direct_multistage_exp3,freeze_layer1_post_switch,5,6,5,stage1_n5__from__root__c05,stage1_n5,0.0781745838287468,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,exp,direct_multistage_exp3,freeze_layer1_post_switch,5,6,1,stage1_n1__from__root__c01,stage1_n1,0.0018238580801703532,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,exp,direct_multistage_exp3,freeze_layer1_post_switch,5,6,2,stage1_n2__from__root__c02,stage1_n2,0.37937246629379695,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,exp,direct_multistage_exp3,freeze_layer1_post_switch,5,6,3,stage1_n3__from__root__c03,stage1_n3,0.37937246629379695,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,exp,direct_multistage_exp3,freeze_layer1_post_switch,5,6,4,stage1_n4__from__root__c04,stage1_n4,0.13256481158375277,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,exp,direct_multistage_exp3,freeze_layer1_post_switch,5,6,5,stage1_n5__from__root__c05,stage1_n5,0.10686639774848303,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,ps,risky_ps_linear,dynamic,5,6,1,stage1_n1__from__root__c01,stage1_n1,0.34885063614428613,ps_risky_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,ps,risky_ps_linear,dynamic,5,6,2,stage1_n2__from__root__c02,stage1_n2,0.12320064926526243,ps_risky_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,ps,risky_ps_linear,dynamic,5,6,3,stage1_n3__from__root__c03,stage1_n3,0.34885063614428613,ps_risky_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,ps,risky_ps_linear,dynamic,5,6,4,stage1_n4__from__root__c04,stage1_n4,0.07939283799045933,ps_risky_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,ps,risky_ps_linear,dynamic,5,6,5,stage1_n5__from__root__c05,stage1_n5,0.099705240455706,ps_risky_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,ps,risky_ps_linear,dynamic,5,6,1,stage1_n1__from__root__c01,stage1_n1,0.38482470294571053,ps_risky_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,ps,risky_ps_linear,dynamic,5,6,2,stage1_n2__from__root__c02,stage1_n2,0.007159723909343647,ps_risky_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,ps,risky_ps_linear,dynamic,5,6,3,stage1_n3__from__root__c03,stage1_n3,0.38482470294571053,ps_risky_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,ps,risky_ps_linear,dynamic,5,6,4,stage1_n4__from__root__c04,stage1_n4,0.13577113292218387,ps_risky_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,ps,risky_ps_linear,dynamic,5,6,5,stage1_n5__from__root__c05,stage1_n5,0.08741973727705146,ps_risky_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,ps,risky_ps_linear,freeze_layer1_post_switch,5,6,1,stage1_n1__from__root__c01,stage1_n1,0.34885063614428613,ps_risky_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,ps,risky_ps_linear,freeze_layer1_post_switch,5,6,2,stage1_n2__from__root__c02,stage1_n2,0.12320064926526243,ps_risky_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,ps,risky_ps_linear,freeze_layer1_post_switch,5,6,3,stage1_n3__from__root__c03,stage1_n3,0.34885063614428613,ps_risky_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,ps,risky_ps_linear,freeze_layer1_post_switch,5,6,4,stage1_n4__from__root__c04,stage1_n4,0.07939283799045933,ps_risky_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,ps,risky_ps_linear,freeze_layer1_post_switch,5,6,5,stage1_n5__from__root__c05,stage1_n5,0.099705240455706,ps_risky_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,ps,risky_ps_linear,freeze_layer1_post_switch,5,6,1,stage1_n1__from__root__c01,stage1_n1,0.38482470294571053,ps_risky_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,ps,risky_ps_linear,freeze_layer1_post_switch,5,6,2,stage1_n2__from__root__c02,stage1_n2,0.007159723909343647,ps_risky_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,ps,risky_ps_linear,freeze_layer1_post_switch,5,6,3,stage1_n3__from__root__c03,stage1_n3,0.38482470294571053,ps_risky_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,ps,risky_ps_linear,freeze_layer1_post_switch,5,6,4,stage1_n4__from__root__c04,stage1_n4,0.13577113292218387,ps_risky_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,ps,risky_ps_linear,freeze_layer1_post_switch,5,6,5,stage1_n5__from__root__c05,stage1_n5,0.08741973727705146,ps_risky_marginal_mixture
