method,episode_1based,phase,expected_terminal_action,terminal_cost,reasoning_cost,total_cost,clear_execution_success,assistant_execution_status,actual_modes,required_modes,majority_pair,mismatch_bucket,final_action
direct_multistage_exp3,13,pre_switch,repair_all,0.0,3.219095,3.277195,True,not_required,fast/fast/deep/fast/fast,fast/fast/fast/fast/fast,mostly_fast_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,14,pre_switch,repair_subset,6.0,4.991735,11.060935,False,assistant_required_but_no_tool_or_not_clean,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_subset
direct_multistage_exp3,15,pre_switch,repair_all,1.5,5.64236,7.21716,False,not_required,deep/deep/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,16,pre_switch,repair_all,1.5,3.67471,5.24931,False,not_required,fast/fast/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,17,pre_switch,repair_all,1.5,4.987865,6.563765,False,not_required,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,18,pre_switch,repair_all,0.0,7.997265,8.065565,True,not_required,deep/fast/deep/deep/fast,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,19,pre_switch,repair_all,0.0,4.036315,4.103915,True,not_required,fast/deep/fast/fast/deep,fast/fast/fast/fast/fast,mostly_fast_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,20,pre_switch,repair_all,1.5,9.55987,11.13307,False,not_required,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,21,pre_switch,repair_all,1.5,5.62081,7.192209999999999,False,not_required,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,22,pre_switch,repair_all,0.0,4.565895,4.634995,True,not_required,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,23,pre_switch,repair_all,0.0,5.05501,5.13401,True,not_required,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,24,pre_switch,repair_subset,5.0,4.944665,10.007565,False,assistant_tool_called_but_not_clean,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,25,pre_switch,repair_all,1.5,3.959075,5.525675,False,not_required,fast/fast/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,26,post_switch,repair_subset,3.0,4.68963,7.75573,False,assistant_required_but_no_tool_or_not_clean,fast/fast/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,repair_subset
direct_multistage_exp3,27,post_switch,repair_subset,13.0,5.321765,18.391065,False,assistant_required_but_no_tool_or_not_clean,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,repair_subset
direct_multistage_exp3,28,post_switch,repair_all,11.0,5.95813,17.03563,False,not_required,deep/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,deep_on_fast_required,repair_subset
direct_multistage_exp3,29,post_switch,repair_subset,18.5,5.571655,24.148155,False,assistant_required_but_no_tool_or_not_clean,deep/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,deep_on_fast_required,transfer
direct_multistage_exp3,30,post_switch,repair_subset,15.0,4.745265,19.820664999999998,False,assistant_required_but_no_tool_or_not_clean,deep/fast/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,both_mismatch_types,repair_subset
direct_multistage_exp3,31,post_switch,repair_subset,17.0,4.74827,21.817169999999997,False,assistant_tool_called_but_not_clean,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,repair_subset
direct_multistage_exp3,32,post_switch,repair_all,0.0,5.48733,5.56483,True,not_required,deep/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,deep_on_fast_required,repair_all
direct_multistage_exp3,33,post_switch,repair_subset,18.5,5.57016,24.147660000000002,False,assistant_required_but_no_tool_or_not_clean,deep/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,deep_on_fast_required,transfer
direct_multistage_exp3,34,post_switch,repair_subset,21.5,7.266415,28.840515000000003,False,assistant_required_but_no_tool_or_not_clean,deep/fast/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,both_mismatch_types,transfer
direct_multistage_exp3,35,post_switch,transfer,1.0,4.35812,5.431620000000001,False,assistant_required_but_no_tool_or_not_clean,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,transfer
direct_multistage_exp3,36,post_switch,repair_subset,11.5,7.007155,18.578255,False,assistant_tool_called_but_not_clean,fast/fast/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,repair_subset
direct_multistage_exp3,37,post_switch,repair_subset,13.0,5.51081,18.57021,False,assistant_required_but_no_tool_or_not_clean,fast/fast/fast/deep/deep,fast/deep/deep/deep/deep,mostly_fast_path__mostly_deep_task,fast_on_deep_required,repair_subset
direct_multistage_exp3,38,post_switch,repair_all,11.0,5.5539,16.627399999999998,False,not_required,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,repair_subset
direct_multistage_exp3,39,post_switch,repair_subset,5.0,5.25989,10.32529,False,assistant_required_but_no_tool_or_not_clean,fast/fast/deep/fast/deep,fast/deep/deep/deep/deep,mostly_fast_path__mostly_deep_task,fast_on_deep_required,repair_subset
direct_multistage_exp3,40,post_switch,repair_subset,5.0,6.16136,11.22346,False,assistant_required_but_no_tool_or_not_clean,deep/fast/fast/fast/deep,fast/deep/deep/deep/deep,mostly_fast_path__mostly_deep_task,both_mismatch_types,repair_subset
direct_multistage_exp3,41,post_switch,repair_subset,16.5,5.25494,21.83144,False,assistant_required_but_no_tool_or_not_clean,deep/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,deep_on_fast_required,transfer
direct_multistage_exp3,42,post_switch,repair_all,0.0,5.25969,5.33069,True,not_required,deep/fast/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,both_mismatch_types,repair_all
direct_multistage_exp3,43,post_switch,repair_subset,19.5,5.154335,24.729734999999998,False,assistant_required_but_no_tool_or_not_clean,deep/fast/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,both_mismatch_types,transfer
direct_multistage_exp3,44,post_switch,repair_subset,21.5,4.789405,26.356405000000002,False,assistant_required_but_no_tool_or_not_clean,fast/fast/deep/deep/fast,fast/deep/deep/deep/deep,mostly_fast_path__mostly_deep_task,fast_on_deep_required,transfer
direct_multistage_exp3,45,post_switch,transfer,1.0,4.995205,6.071005,False,assistant_required_but_no_tool_or_not_clean,deep/fast/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,both_mismatch_types,transfer
direct_multistage_exp3,46,post_switch,repair_subset,3.0,4.650105,7.716205,False,assistant_required_but_no_tool_or_not_clean,fast/fast/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,repair_subset
direct_multistage_exp3,47,post_switch,repair_subset,13.0,5.56969,18.64289,False,assistant_required_but_no_tool_or_not_clean,fast/deep/fast/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,repair_subset
direct_multistage_exp3,48,post_switch,repair_all,11.0,5.334365,16.404465000000002,False,not_required,fast/fast/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,repair_subset
direct_multistage_exp3,49,post_switch,repair_subset,18.5,4.90674,23.46544,False,assistant_required_but_no_tool_or_not_clean,fast/deep/fast/fast/fast,fast/deep/deep/deep/deep,mostly_fast_path__mostly_deep_task,fast_on_deep_required,transfer
direct_multistage_exp3,50,post_switch,repair_subset,21.5,6.13015,27.69575,False,assistant_required_but_no_tool_or_not_clean,deep/fast/fast/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,both_mismatch_types,transfer
direct_multistage_exp3,51,post_switch,repair_subset,17.5,4.374005,21.952405,False,assistant_required_but_no_tool_or_not_clean,fast/fast/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,transfer
direct_multistage_exp3,52,post_switch,repair_all,18.5,5.168415,23.735515,False,not_required,fast/fast/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,transfer
direct_multistage_exp3,53,post_switch,repair_subset,5.0,5.59966,10.65746,False,assistant_required_but_no_tool_or_not_clean,fast/fast/fast/fast/deep,fast/deep/deep/deep/deep,mostly_fast_path__mostly_deep_task,fast_on_deep_required,repair_subset
direct_multistage_exp3,54,post_switch,repair_subset,20.5,5.56438,26.14228,False,assistant_required_but_no_tool_or_not_clean,deep/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,deep_on_fast_required,transfer
direct_multistage_exp3,55,post_switch,transfer,3.0,4.92677,8.00087,False,assistant_required_but_no_tool_or_not_clean,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,transfer
direct_multistage_exp3,56,post_switch,repair_subset,3.0,4.182775,7.255275,False,assistant_required_but_no_tool_or_not_clean,fast/fast/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,repair_subset
direct_multistage_exp3,57,post_switch,repair_subset,14.0,5.09768,19.17558,False,assistant_required_but_no_tool_or_not_clean,deep/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,deep_on_fast_required,repair_subset
direct_multistage_exp3,58,post_switch,repair_all,11.0,5.53384,16.61134,False,not_required,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,repair_subset
direct_multistage_exp3,59,post_switch,repair_subset,19.5,4.58558,24.15598,False,assistant_tool_called_but_not_clean,fast/fast/deep/deep/fast,fast/deep/deep/deep/deep,mostly_fast_path__mostly_deep_task,fast_on_deep_required,transfer
direct_multistage_exp3,60,post_switch,repair_subset,21.5,5.43281,26.99711,False,assistant_required_but_no_tool_or_not_clean,deep/fast/fast/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,both_mismatch_types,transfer
direct_multistage_exp3,61,post_switch,repair_subset,16.5,4.79399,21.36239,False,assistant_required_but_no_tool_or_not_clean,fast/deep/deep/deep/fast,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,transfer
direct_multistage_exp3,62,post_switch,repair_all,11.0,5.319215,16.392715,False,not_required,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,repair_subset
direct_multistage_exp3,63,post_switch,repair_subset,2.0,5.020695,7.0958950000000005,False,assistant_required_but_no_tool_or_not_clean,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,repair_subset
direct_multistage_exp3,64,post_switch,repair_subset,21.5,5.42699,26.98889,False,assistant_required_but_no_tool_or_not_clean,deep/fast/fast/deep/fast,fast/deep/deep/deep/deep,mostly_fast_path__mostly_deep_task,both_mismatch_types,transfer
direct_multistage_exp3,65,post_switch,transfer,1.0,4.95659,6.02399,False,assistant_required_but_no_tool_or_not_clean,deep/fast/fast/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,both_mismatch_types,transfer
direct_multistage_exp3,66,post_switch,repair_subset,2.0,4.57946,6.646660000000001,False,assistant_required_but_no_tool_or_not_clean,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,repair_subset
direct_multistage_exp3,67,post_switch,repair_subset,14.0,6.086935,20.165935,False,assistant_required_but_no_tool_or_not_clean,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,repair_subset
direct_multistage_exp3,68,post_switch,repair_all,18.5,5.81805,24.39525,False,not_required,deep/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,deep_on_fast_required,transfer
direct_multistage_exp3,69,post_switch,repair_subset,19.5,4.500815,24.071815,False,assistant_required_but_no_tool_or_not_clean,fast/fast/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,transfer
direct_multistage_exp3,70,post_switch,repair_subset,20.5,5.25685,25.83005,False,assistant_required_but_no_tool_or_not_clean,fast/deep/fast/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,transfer
direct_multistage_exp3,71,post_switch,repair_subset,2.0,5.463785,7.539785,False,assistant_required_but_no_tool_or_not_clean,deep/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,deep_on_fast_required,repair_subset
direct_multistage_exp3,72,post_switch,repair_all,18.5,5.88445,24.45975,False,not_required,deep/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,deep_on_fast_required,transfer
direct_multistage_exp3,73,post_switch,repair_subset,18.5,4.966295,23.545295,False,assistant_required_but_no_tool_or_not_clean,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,transfer
direct_multistage_exp3,74,post_switch,repair_subset,13.0,5.90667,18.97627,False,assistant_required_but_no_tool_or_not_clean,deep/fast/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,both_mismatch_types,repair_subset
direct_multistage_exp3,75,post_switch,transfer,1.0,4.44516,5.51866,False,assistant_required_but_no_tool_or_not_clean,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,transfer
direct_multistage_exp3,76,post_switch,repair_subset,19.0,4.30202,23.374419999999997,False,assistant_tool_called_but_not_clean,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,repair_subset
direct_multistage_exp3,77,post_switch,repair_subset,13.0,4.683,17.755200000000002,False,assistant_required_but_no_tool_or_not_clean,fast/fast/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,repair_subset
direct_multistage_exp3,78,post_switch,repair_all,18.5,5.25912,23.83172,False,not_required,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,transfer
direct_multistage_exp3,79,post_switch,repair_subset,18.5,4.972755,23.547954999999998,False,assistant_required_but_no_tool_or_not_clean,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,transfer
direct_multistage_exp3,80,post_switch,repair_subset,5.0,5.69318,10.757480000000001,False,assistant_required_but_no_tool_or_not_clean,deep/fast/fast/fast/deep,fast/deep/deep/deep/deep,mostly_fast_path__mostly_deep_task,both_mismatch_types,repair_subset
direct_multistage_exp3,81,post_switch,repair_subset,2.0,4.832845,6.898645,False,assistant_required_but_no_tool_or_not_clean,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,repair_subset
direct_multistage_exp3,82,post_switch,repair_all,0.0,5.48699,5.564489999999999,True,not_required,deep/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,deep_on_fast_required,repair_all
direct_multistage_exp3,83,post_switch,repair_subset,3.0,5.162665,8.236765,False,assistant_required_but_no_tool_or_not_clean,deep/fast/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,both_mismatch_types,repair_subset
direct_multistage_exp3,84,post_switch,repair_subset,13.0,5.73922,18.81332,False,assistant_required_but_no_tool_or_not_clean,deep/fast/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,both_mismatch_types,repair_subset
direct_multistage_exp3,85,post_switch,transfer,3.0,5.4559,8.524,False,assistant_tool_called_but_not_clean,deep/fast/deep/fast/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,both_mismatch_types,transfer
direct_multistage_exp3,86,post_switch,repair_subset,3.0,4.177845,7.249845,False,assistant_required_but_no_tool_or_not_clean,fast/fast/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,repair_subset
direct_multistage_exp3,87,post_switch,repair_subset,14.0,5.11604,19.193939999999998,False,assistant_required_but_no_tool_or_not_clean,deep/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,deep_on_fast_required,repair_subset
direct_multistage_exp3,88,post_switch,repair_all,11.0,5.21645,16.29225,False,not_required,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,repair_subset
direct_multistage_exp3,89,post_switch,repair_subset,15.5,5.436195,21.000394999999997,False,assistant_tool_called_but_not_clean,deep/fast/fast/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,both_mismatch_types,repair_subset
direct_multistage_exp3,90,post_switch,repair_subset,20.5,5.56936,26.14536,False,assistant_required_but_no_tool_or_not_clean,deep/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,deep_on_fast_required,transfer
direct_multistage_exp3,91,post_switch,repair_subset,11.5,5.2575,16.8214,False,assistant_tool_called_but_not_clean,fast/fast/fast/fast/deep,fast/deep/deep/deep/deep,mostly_fast_path__mostly_deep_task,fast_on_deep_required,repair_subset
direct_multistage_exp3,92,post_switch,repair_all,18.5,5.085585,23.658785,False,not_required,fast/deep/fast/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,transfer
direct_multistage_exp3,93,post_switch,repair_subset,3.0,4.804185,7.8692850000000005,False,assistant_required_but_no_tool_or_not_clean,fast/fast/deep/deep/fast,fast/deep/deep/deep/deep,mostly_fast_path__mostly_deep_task,fast_on_deep_required,repair_subset
direct_multistage_exp3,94,post_switch,repair_subset,2.0,4.53016,6.6059600000000005,False,assistant_required_but_no_tool_or_not_clean,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,repair_subset
direct_multistage_exp3,95,post_switch,transfer,1.0,4.357865,5.427965,False,assistant_required_but_no_tool_or_not_clean,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,transfer
direct_multistage_exp3,96,post_switch,repair_subset,4.0,5.82236,9.89016,False,assistant_required_but_no_tool_or_not_clean,fast/deep/deep/fast/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,repair_subset
direct_multistage_exp3,97,post_switch,repair_subset,2.0,5.18795,7.26585,False,assistant_required_but_no_tool_or_not_clean,deep/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,deep_on_fast_required,repair_subset
direct_multistage_exp3,98,post_switch,repair_all,11.0,5.307505,16.378004999999998,False,not_required,fast/fast/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,repair_subset
direct_multistage_exp3,99,post_switch,repair_subset,18.5,4.972755,23.548555,False,assistant_required_but_no_tool_or_not_clean,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,transfer
direct_multistage_exp3,100,post_switch,repair_subset,20.5,5.24597,25.81607,False,assistant_required_but_no_tool_or_not_clean,fast/deep/fast/deep/deep,fast/deep/deep/deep/deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,transfer
epsilon_exp3,1,pre_switch,repair_all,1.5,5.248545,6.814045,False,not_required,fast/fast/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
epsilon_exp3,2,pre_switch,repair_all,0.0,4.225105,4.288105,True,not_required,deep/fast/deep/deep/fast,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
epsilon_exp3,3,pre_switch,repair_all,0.0,4.34046,4.39956,True,not_required,fast/deep/deep/deep/fast,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
epsilon_exp3,4,pre_switch,repair_subset,5.0,5.30703,10.384730000000001,False,assistant_tool_called_but_not_clean,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
epsilon_exp3,5,pre_switch,repair_all,1.5,6.29924,7.87524,False,not_required,deep/deep/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
epsilon_exp3,6,pre_switch,repair_all,1.5,4.680615,6.255915,False,not_required,deep/deep/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
epsilon_exp3,7,pre_switch,repair_all,1.5,4.52353,6.09373,False,not_required,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
epsilon_exp3,8,pre_switch,repair_all,0.0,7.22786,7.30146,True,not_required,fast/fast/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
epsilon_exp3,9,pre_switch,repair_all,0.0,9.201235,9.271535,True,not_required,fast/fast/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
epsilon_exp3,10,pre_switch,repair_all,1.5,5.042705,6.612905,False,not_required,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
epsilon_exp3,11,pre_switch,repair_all,1.5,5.61943,7.1887300000000005,False,not_required,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
epsilon_exp3,12,pre_switch,repair_all,0.0,3.70949,3.7680900000000004,True,not_required,fast/fast/fast/deep/deep,fast/fast/fast/fast/fast,mostly_fast_path__mostly_fast_task,deep_on_fast_required,repair_all
epsilon_exp3,13,pre_switch,repair_all,0.0,4.580095,4.645795,True,not_required,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
epsilon_exp3,14,pre_switch,repair_subset,5.0,4.970195,10.043495,False,assistant_tool_called_but_not_clean,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
epsilon_exp3,15,pre_switch,repair_all,1.5,4.403785,5.971385,False,not_required,fast/fast/fast/deep/deep,fast/fast/fast/fast/fast,mostly_fast_path__mostly_fast_task,deep_on_fast_required,repair_all
epsilon_exp3,16,pre_switch,repair_all,1.5,3.541085,5.106985,False,not_required,fast/deep/fast/fast/deep,fast/fast/fast/fast/fast,mostly_fast_path__mostly_fast_task,deep_on_fast_required,repair_all
epsilon_exp3,17,pre_switch,repair_all,1.5,4.52261,6.09211,False,not_required,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
epsilon_exp3,18,pre_switch,repair_all,0.0,7.996245,8.061445,True,not_required,deep/fast/deep/deep/fast,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
epsilon_exp3,19,pre_switch,repair_all,0.0,4.59232,4.66132,True,not_required,deep/fast/fast/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
