method,stage,mode_pair,episode_count,terminal_cost_avg,reasoning_cost_avg,total_cost_avg,exact_match_rate,clear_execution_success_rate,assistant_required_count,assistant_execution_success_rate_applicable,actual_majority_distribution,required_majority_distribution
epsilon_exp3,stage4,deep_path__deep_task,65,11.13076923076923,5.116951923076924,16.321208846153844,0.0,0.07692307692307693,0,0.0,"{""deep"": 65}","{""deep"": 65}"
epsilon_exp3,stage4,deep_path__fast_task,24,1.3125,5.2250491666666665,6.607224166666668,0.0,0.4166666666666667,0,0.0,"{""deep"": 24}","{""fast"": 24}"
epsilon_exp3,stage4,fast_path__deep_task,10,9.95,4.915484,14.931864,0.0,0.0,0,0.0,"{""fast"": 10}","{""deep"": 10}"
epsilon_exp3,stage4,fast_path__fast_task,1,1.5,3.541085,5.106985,0.0,0.0,0,0.0,"{""fast"": 1}","{""fast"": 1}"
epsilon_exp3,stage5,deep_path__deep_task,68,10.823529411764707,5.078410367647059,15.97501919117647,0.0,0.07352941176470588,0,0.0,"{""deep"": 68}","{""deep"": 68}"
epsilon_exp3,stage5,deep_path__fast_task,22,1.5,5.1082025,6.678693409090909,0.0,0.3181818181818182,0,0.0,"{""deep"": 22}","{""fast"": 22}"
epsilon_exp3,stage5,fast_path__deep_task,7,12.428571428571429,5.203544285714286,17.699415714285713,0.0,0.0,0,0.0,"{""fast"": 7}","{""deep"": 7}"
epsilon_exp3,stage5,fast_path__fast_task,3,0.0,5.520603333333334,5.5830366666666675,0.0,1.0,0,0.0,"{""fast"": 3}","{""fast"": 3}"
risky_ps_linear,stage1,deep_path__fast_task,20,6.675,5.5644875,12.310157499999999,0.0,0.2,0,0.0,"{""deep"": 20}","{""fast"": 20}"
risky_ps_linear,stage1,fast_path__fast_task,80,8.50625,5.0671429375,13.643679187500002,0.0,0.0875,0,0.0,"{""fast"": 80}","{""fast"": 80}"
risky_ps_linear,stage2,deep_path__deep_task,44,10.625,5.2113660227272725,15.907031931818182,0.0,0.0,0,0.0,"{""deep"": 44}","{""deep"": 44}"
risky_ps_linear,stage2,deep_path__fast_task,10,1.85,5.192976,7.118545999999999,0.0,0.4,0,0.0,"{""deep"": 10}","{""fast"": 10}"
risky_ps_linear,stage2,fast_path__deep_task,31,9.919354838709678,5.088029838709677,15.076552419354838,0.0,0.03225806451612903,0,0.0,"{""fast"": 31}","{""deep"": 31}"
risky_ps_linear,stage2,fast_path__fast_task,15,1.3666666666666667,5.1801596666666665,6.615299666666667,0.0,0.4,0,0.0,"{""fast"": 15}","{""fast"": 15}"
risky_ps_linear,stage3,deep_path__deep_task,48,10.802083333333334,5.062859166666667,15.93668625,0.0,0.0,0,0.0,"{""deep"": 48}","{""deep"": 48}"
risky_ps_linear,stage3,deep_path__fast_task,21,1.3571428571428572,5.207096666666667,6.636482380952381,0.0,0.42857142857142855,0,0.0,"{""deep"": 21}","{""fast"": 21}"
risky_ps_linear,stage3,fast_path__deep_task,27,9.5,5.3337699999999995,14.90079962962963,0.0,0.037037037037037035,0,0.0,"{""fast"": 27}","{""deep"": 27}"
risky_ps_linear,stage3,fast_path__fast_task,4,2.625,5.07078125,7.76220625,0.0,0.25,0,0.0,"{""fast"": 4}","{""fast"": 4}"
risky_ps_linear,stage4,deep_path__deep_task,65,10.9,5.151660153846154,16.12236323076923,0.0,0.015384615384615385,0,0.0,"{""deep"": 65}","{""deep"": 65}"
risky_ps_linear,stage4,deep_path__fast_task,23,1.3043478260869565,5.29387652173913,6.67002,0.0,0.43478260869565216,0,0.0,"{""deep"": 23}","{""fast"": 23}"
risky_ps_linear,stage4,fast_path__deep_task,10,6.65,5.217112,11.932891999999999,0.0,0.0,0,0.0,"{""fast"": 10}","{""deep"": 10}"
risky_ps_linear,stage4,fast_path__fast_task,2,4.5,3.9364975,8.5022475,0.0,0.0,0,0.0,"{""fast"": 2}","{""fast"": 2}"
risky_ps_linear,stage5,deep_path__deep_task,65,10.553846153846154,5.148593461538462,15.773134999999998,0.0,0.015384615384615385,0,0.0,"{""deep"": 65}","{""deep"": 65}"
risky_ps_linear,stage5,deep_path__fast_task,23,1.6304347826086956,5.291942173913044,6.9943030434782605,0.0,0.391304347826087,0,0.0,"{""deep"": 23}","{""fast"": 23}"
risky_ps_linear,stage5,fast_path__deep_task,10,8.9,5.2370455,14.2028755,0.0,0.0,0,0.0,"{""fast"": 10}","{""deep"": 10}"
risky_ps_linear,stage5,fast_path__fast_task,2,0.75,3.9587425,4.7729925,0.0,0.5,0,0.0,"{""fast"": 2}","{""fast"": 2}"
