dataset_index,repeat_index,diagnostic_group,diagnostic_pattern,actual_pattern,required_pattern,source_run,source_episode,source_terminal,source_final,source_cause,oracle_action,expected_terminal_action,selected_missing_vs_oracle,selected_extra_vs_oracle,deferred_missing_vs_oracle,deferred_extra_vs_oracle,stage4_selected_before_normalization,stage4_selected_after_normalization,stage4_deferred_before_normalization,stage4_deferred_after_normalization,stage4_completion_added_blockers,stage4_completion_added_prerequisite_blockers,stage4_completion_added_downstream_blockers,stage5_final_action_reason,terminal_adjustment_reasons,task_id,bucket_label,path_rank_offline,path_class,path_lane_sequence,path_agent_ids,offline_path_match,raw_terminal_penalty,raw_path_cost_component,raw_reasoning_cost_component,raw_total_cost,raw_total_cost_with_token_penalty,prompt_tokens_total,completion_tokens_total,total_tokens_total,llm_call_count_total,json_retry_count_total,fallback_count_total,replay_tool_call_count_total,token_over_budget_penalty_total,fast_total_tokens_total,fast_json_retry_count_total,fast_fallback_count_total,fast_token_over_budget_penalty_total,api_cost_total_usd_raw,tool_call_count,final_action,stage4_repairability,stage4_transfer_reason,stage4_should_repair_true_count,stage4_llm_call_count,stage4_json_retry_count,stage4_fallback_used,stage4_normalizer_changed_output,stage4_completion_pass_applied,stage4_completion_prerequisite_pass_applied,stage4_completion_added_prerequisite_blockers_count,stage4_completion_added_downstream_blockers_count,stage4_completion_added_blockers_count,stage5_raw_action_hint,selected_blocker_ids,deferred_blocker_ids,exact_match
16,0,canonical_pattern,ffddd,ffddd,fdddd,,,,,,repair_all,repair_all,"[""airplane_mode_on"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission"", ""data_mode_off"", ""unseat_sim_card"", ""user_abroad_roaming_enabled_off""]",[],[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",[],[],[],,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],focus,57,pure_target,"[""general"", ""general"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n2__from__n0007__c01"", ""stage4_n1__from__n0025__c01"", ""stage5_n1__from__n0076__c01""]",0.8,22.5,0.0771,4.47649,27.05359,33.05359,52895.0,1615.0,54510.0,12,0,0,0,6.0,7096.0,0,0,6.0,0.0051496499999999995,22,transfer,transfer_required,no_safe_local_repair_subset_v2,0,3,0,False,True,False,False,0,0,0,,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",False
16,0,canonical_pattern,ddddd,ddddd,fdddd,,,,,,repair_all,repair_all,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",[],[],[],[],[],,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],focus,83,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n2__from__root__c02"", ""stage2_n1__from__n0002__c01"", ""stage3_n1__from__n0009__c01"", ""stage4_n1__from__n0032__c01"", ""stage5_n1__from__n0097__c01""]",0.8,0.0,0.0776,4.93233,5.009930000000001,5.009930000000001,57243.0,1727.0,58970.0,15,0,1,9,0.0,0.0,0,0,0.0,0.006080250000000001,35,repair_all,repairable,,8,3,0,False,False,False,False,0,0,0,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",[],True
10,0,observed_high_terminal_exact_match,fdddd,fdddd,fdddd,pf,27,22.5,transfer,over_transfer_on_local_oracle,repair_subset,repair_subset,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",[],[],[],,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],focus,9000,observed_high_terminal_exact_match,[],"[""stage1_n4__from__root__c04"", ""stage2_n5__from__n0004__c05"", ""stage3_n5__from__n0019__c03"", ""stage4_n2__from__n0064__c01"", ""stage5_n1__from__n0182__c01""]",1.0,6.0,0.073,4.05951,10.13251,13.38251,52769.0,1306.0,54075.0,13,0,0,8,3.25,3604.0,0,0,3.25,0.00554055,32,repair_subset,partially_repairable,,7,2,0,False,True,False,False,0,0,0,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",True
2,0,observed_high_terminal_exact_match,fdddd,fdddd,fdddd,pf,35,18.5,transfer,over_transfer_on_local_oracle,repair_all,repair_all,"[""airplane_mode_on"", ""unseat_sim_card""]",[],[],[],"[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card""]","[""airplane_mode_on"", ""unseat_sim_card""]",[],[],[],,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],focus,9001,observed_high_terminal_exact_match,[],"[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n2__from__n0006__c02"", ""stage4_n1__from__n0024__c01"", ""stage5_n2__from__n0075__c02""]",1.0,10.0,0.07500000000000001,3.65071,13.72571,16.72571,46357.0,1449.0,47806.0,12,0,0,5,3.0,3578.0,0,0,3.0,0.00462615,24,repair_subset,partially_repairable,,4,3,0,False,True,False,False,0,0,0,,"[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card""]",False
13,0,observed_high_terminal_exact_match,fdddd,fdddd,fdddd,pf,38,17.0,repair_subset,subset_mismatch_with_missing_oracle_repair_tools,repair_subset,repair_subset,"[""airplane_mode_on"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions"", ""data_mode_off"", ""unseat_sim_card"", ""user_abroad_roaming_enabled_off""]",[],[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""data_usage_exceeded"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions"", ""data_usage_exceeded""]",[],[],[],,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],focus,9002,observed_high_terminal_exact_match,[],"[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,24.5,0.07830000000000001,4.13336,28.71166,31.96166,51596.0,1863.0,53459.0,13,0,0,0,3.25,3608.0,0,0,3.25,0.0053148,23,transfer,transfer_required,no_safe_local_repair_subset_v2,0,2,0,False,True,False,False,0,0,0,,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions"", ""data_usage_exceeded""]",False
16,0,observed_high_terminal_exact_match,fdddd,fdddd,fdddd,old,39,15.0,repair_subset,subset_mismatch_with_missing_oracle_repair_tools,repair_all,repair_all,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",[],[],[],[],[],,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],focus,9003,observed_high_terminal_exact_match,[],"[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n2__from__n0006__c02"", ""stage4_n1__from__n0024__c01"", ""stage5_n2__from__n0075__c02""]",1.0,0.0,0.07500000000000001,4.19377,4.26877,7.26877,53083.0,1707.0,54790.0,13,0,1,9,3.0,3594.0,0,0,3.0,0.00536745,33,repair_all,repairable,,8,3,0,False,False,False,False,0,0,0,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",[],True
2,0,observed_high_terminal_exact_match,fdddd,fdddd,fdddd,pf,45,10.0,repair_subset,subset_mismatch_with_missing_oracle_repair_tools,repair_all,repair_all,"[""airplane_mode_on"", ""bad_network_preference"", ""bad_wifi_calling"", ""unseat_sim_card""]",[],[],[],"[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card""]","[""airplane_mode_on"", ""unseat_sim_card""]",[],[],[],,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],focus,9004,observed_high_terminal_exact_match,[],"[""stage1_n5__from__root__c05"", ""stage2_n4__from__n0005__c02"", ""stage3_n3__from__n0021__c01"", ""stage4_n2__from__n0068__c01"", ""stage5_n2__from__n0196__c02""]",1.0,13.0,0.0732,3.88605,16.95925,19.95925,49335.0,1545.0,50880.0,13,0,0,5,3.0,3578.0,0,0,3.0,0.005600849999999999,26,repair_subset,partially_repairable,,4,3,0,False,True,False,False,0,0,0,,"[""break_apn_mms_setting"", ""break_app_storage_permission""]","[""bad_network_preference"", ""bad_wifi_calling"", ""airplane_mode_on"", ""unseat_sim_card""]",False
10,0,observed_high_terminal_exact_match,fdddd,fdddd,fdddd,old,57,22.5,transfer,over_transfer_on_local_oracle,repair_subset,repair_subset,"[""airplane_mode_on"", ""data_mode_off"", ""unseat_sim_card""]",[],"[""data_usage_exceeded"", ""user_abroad_roaming_disabled_on""]",[],"[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission"", ""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off""]",[],[],[],,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],focus,9005,observed_high_terminal_exact_match,[],"[""stage1_n4__from__root__c04"", ""stage2_n1__from__n0004__c01"", ""stage3_n2__from__n0015__c02"", ""stage4_n1__from__n0051__c01"", ""stage5_n2__from__n0144__c02""]",1.0,15.0,0.0743,3.70188,18.77618,22.02618,46136.0,1687.0,47823.0,12,0,1,7,3.25,3604.0,0,0,3.25,0.005100599999999999,30,repair_subset,partially_repairable,,6,2,0,False,True,False,False,0,0,0,,"[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission"", ""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off""]",False
10,0,observed_high_terminal_exact_match,fdddd,fdddd,fdddd,pf,57,22.5,transfer,over_transfer_on_local_oracle,repair_subset,repair_subset,"[""airplane_mode_on"", ""bad_network_preference"", ""bad_wifi_calling"", ""data_mode_off"", ""unseat_sim_card""]",[],"[""data_usage_exceeded"", ""user_abroad_roaming_disabled_on""]",[],"[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""break_apn_mms_setting"", ""break_app_sms_permission"", ""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling""]",[],[],[],,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],focus,9006,observed_high_terminal_exact_match,[],"[""stage1_n4__from__root__c04"", ""stage2_n1__from__n0004__c01"", ""stage3_n1__from__n0015__c01"", ""stage4_n1__from__n0050__c01"", ""stage5_n1__from__n0143__c01""]",1.0,19.0,0.0748,4.63946,23.71426,26.96426,60994.0,1321.0,62315.0,14,0,1,5,3.25,3604.0,0,0,3.25,0.0061017,30,repair_subset,partially_repairable,,4,3,0,False,True,False,False,0,0,0,,"[""break_apn_mms_setting"", ""break_app_sms_permission"", ""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling""]",False
2,0,observed_high_terminal_exact_match,fdddd,fdddd,fdddd,old,65,10.0,repair_subset,subset_mismatch_with_missing_oracle_repair_tools,repair_all,repair_all,"[""airplane_mode_on"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission"", ""unseat_sim_card""]",[],[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],[],[],,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],focus,9007,observed_high_terminal_exact_match,[],"[""stage1_n4__from__root__c04"", ""stage2_n1__from__n0004__c01"", ""stage3_n2__from__n0015__c02"", ""stage4_n1__from__n0051__c01"", ""stage5_n1__from__n0144__c01""]",1.0,18.5,0.0747,4.01975,22.594450000000002,25.594450000000002,50797.0,1657.0,52454.0,13,0,0,0,3.0,3578.0,0,0,3.0,0.005935350000000001,21,transfer,transfer_required,no_safe_local_repair_subset_v2,0,3,0,False,True,False,False,0,0,0,,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",False
