seed,method,episode_index,dataset_index,actual_agent_pattern,required_task_pattern,matched,schedule_phase,oracle_action,final_action,raw_total_cost,raw_terminal_penalty,raw_reasoning_cost_component,raw_mode_mismatch_cost_component,raw_policy_penalty,raw_outcome_penalty,exact_match,clear_success,aux_success,subset_mismatch,stage5_executed_tool_names,stage5_replay_tool_names,terminal_adjustment_reasons,task_id
0,epsilon_exp3,68,13,fdffd,fdddd,False,target_post_switch,repair_subset,repair_subset,21.11947,14.0,7.06127,3.0,2.0,8.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'check_network_mode_preference', 'can_send_mms', 'check_apn_settings', 'check_wifi_calling_status']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'set_network_mode_preference']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
0,epsilon_exp3,59,16,ffffd,fdddd,False,target_post_switch,repair_all,repair_subset,21.02115,14.0,6.95725,4.5,2.0,3.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'check_network_mode_preference', 'check_wifi_calling_status', 'check_app_permissions', 'can_send_mms', 'can_send_mms', 'check_apn_settings', 'get_details_by_id', 'get_details_by_id']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'toggle_roaming', 'set_network_mode_preference', 'toggle_wifi_calling', 'reset_apn_settings', 'grant_app_permission']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None]
1,epsilon_exp3,31,33,dffff,fdddd,False,target_post_switch,repair_all,repair_subset,20.8873,14.0,6.8318,6.5,2.0,3.0,False,False,False,True,"['check_sim_status', 'check_wifi_calling_status', 'check_app_permissions', 'can_send_mms']","['reseat_sim_card', 'grant_app_permission', 'toggle_wifi_calling']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card[PERSONA:None]
1,risky_ps,49,16,ffdff,fdddd,False,target_post_switch,repair_all,repair_subset,20.86357,14.0,6.80197,4.5,2.0,3.0,False,False,False,True,"['can_send_mms', 'check_network_status', 'check_sim_status', 'check_network_mode_preference', 'check_wifi_calling_status', 'check_app_permissions', 'get_details_by_id', 'get_details_by_id']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'toggle_roaming', 'set_network_mode_preference', 'toggle_wifi_calling', 'grant_app_permission']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None]
0,direct_multistage_exp3,38,13,ffdfd,fdddd,False,target_post_switch,repair_subset,repair_subset,20.860245,15.0,5.794845,3.0,2.0,9.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'can_send_mms', 'check_apn_settings', 'get_details_by_id', 'get_details_by_id']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'toggle_roaming']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
0,risky_ps,66,9,fffdf,fdddd,False,target_post_switch,repair_subset,repair_subset,20.60641,14.0,6.54451,4.5,2.0,1.0,False,False,False,True,"['can_send_mms', 'check_network_status', 'check_sim_status', 'check_network_mode_preference', 'check_apn_settings', 'check_wifi_calling_status', 'check_app_permissions']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'set_network_mode_preference', 'toggle_wifi_calling', 'reset_apn_settings', 'reboot_device', 'grant_app_permission', 'grant_app_permission']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard]
1,direct_multistage_exp3,36,9,fffdf,fdddd,False,target_post_switch,repair_subset,repair_subset,20.60205,14.0,6.53645,4.5,2.0,1.0,False,False,False,True,"['can_send_mms', 'check_network_status', 'check_sim_status', 'check_network_mode_preference', 'check_apn_settings', 'check_wifi_calling_status', 'check_app_permissions']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'set_network_mode_preference', 'toggle_wifi_calling', 'reset_apn_settings', 'reboot_device', 'grant_app_permission', 'grant_app_permission']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard]
1,direct_multistage_exp3,66,9,fddfd,fdddd,False,target_post_switch,repair_subset,repair_subset,20.579945,14.0,6.508145,1.5,2.0,8.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'can_send_mms', 'check_apn_settings', 'check_app_permissions']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard]
1,epsilon_exp3,68,13,fdddd,fdddd,True,target_post_switch,repair_subset,repair_all,20.579500000000003,12.0,8.505,0.0,2.0,2.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'check_network_mode_preference', 'check_apn_settings', 'check_wifi_calling_status', 'check_app_permissions', 'can_send_mms', 'can_send_mms', 'get_details_by_id', 'get_details_by_id']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'toggle_roaming', 'set_network_mode_preference', 'toggle_wifi_calling', 'reset_apn_settings', 'reboot_device', 'grant_app_permission', 'grant_app_permission']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
0,direct_multistage_exp3,33,35,dfffd,fdddd,False,target_post_switch,repair_all,repair_subset,20.414485,14.0,6.353385,5.0,2.0,5.0,False,False,False,True,"['check_network_status', 'check_wifi_calling_status', 'can_send_mms', 'check_apn_settings', 'get_details_by_id', 'get_details_by_id']","['toggle_airplane_mode', 'toggle_roaming', 'toggle_wifi_calling']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|user_abroad_roaming_enabled_off[PERSONA:None]
1,risky_ps,44,36,fffff,fdddd,False,target_post_switch,repair_all,repair_subset,20.35721,14.0,6.30361,6.0,2.0,5.0,False,False,False,True,"['can_send_mms', 'check_network_status', 'check_sim_status', 'check_wifi_calling_status']","['reseat_sim_card', 'toggle_data', 'toggle_wifi_calling']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|unseat_sim_card[PERSONA:None]
0,risky_ps,84,36,fdfff,fdddd,False,target_post_switch,repair_all,repair_subset,20.2777,14.0,6.2126,4.5,2.0,5.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'check_wifi_calling_status', 'can_send_mms']","['reseat_sim_card', 'toggle_data', 'toggle_wifi_calling']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|unseat_sim_card[PERSONA:None]
1,epsilon_exp3,64,36,ffffd,fdddd,False,target_post_switch,repair_all,repair_subset,20.154595,14.0,6.098595,4.5,2.0,5.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'check_wifi_calling_status', 'can_send_mms', 'check_app_permissions', 'check_apn_settings']","['reseat_sim_card', 'toggle_data', 'toggle_wifi_calling']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|unseat_sim_card[PERSONA:None]
0,risky_ps,44,36,dfffd,fdddd,False,target_post_switch,repair_all,repair_subset,20.103005,14.0,6.039005,5.0,2.0,5.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'check_wifi_calling_status', 'can_send_mms']","['reseat_sim_card', 'toggle_data', 'toggle_wifi_calling']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|unseat_sim_card[PERSONA:None]
1,epsilon_exp3,76,9,dfddd,fdddd,False,target_post_switch,repair_subset,repair_subset,20.07389,12.0,7.99769,2.0,2.0,1.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'check_network_mode_preference', 'check_apn_settings', 'check_wifi_calling_status', 'check_app_permissions', 'can_send_mms', 'can_send_mms']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'set_network_mode_preference', 'toggle_wifi_calling', 'reset_apn_settings', 'reboot_device', 'grant_app_permission', 'grant_app_permission']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard]
0,risky_ps,56,9,ffddf,fdddd,False,target_post_switch,repair_subset,repair_subset,20.049495,14.0,5.982495,3.0,2.0,1.0,False,False,False,True,"['can_send_mms', 'check_network_status', 'check_sim_status', 'check_network_mode_preference', 'check_apn_settings', 'check_wifi_calling_status', 'check_app_permissions']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'set_network_mode_preference', 'toggle_wifi_calling', 'reset_apn_settings', 'reboot_device', 'grant_app_permission', 'grant_app_permission']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard]
1,epsilon_exp3,98,13,ffddd,fdddd,False,target_post_switch,repair_subset,repair_all,20.0102,12.0,7.9417,1.5,2.0,2.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'check_network_mode_preference', 'check_apn_settings', 'check_wifi_calling_status', 'check_app_permissions', 'can_send_mms', 'can_send_mms', 'get_details_by_id', 'get_details_by_id']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'toggle_roaming', 'set_network_mode_preference', 'toggle_wifi_calling', 'reset_apn_settings', 'reboot_device', 'grant_app_permission', 'grant_app_permission']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
1,epsilon_exp3,88,13,ffddf,fdddd,False,target_post_switch,repair_subset,repair_all,19.97851,14.0,5.91751,3.0,2.0,2.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'check_network_mode_preference', 'check_apn_settings', 'check_wifi_calling_status', 'check_app_permissions', 'can_send_mms', 'get_details_by_id', 'get_details_by_id']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'toggle_roaming', 'set_network_mode_preference', 'toggle_wifi_calling', 'reset_apn_settings', 'reboot_device', 'grant_app_permission', 'grant_app_permission']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
1,direct_multistage_exp3,37,10,ffddf,fdddd,False,target_post_switch,repair_subset,repair_subset,19.948205,14.0,5.880205,3.0,2.0,1.0,False,False,False,True,"['can_send_mms', 'check_network_status', 'check_sim_status', 'check_network_mode_preference', 'check_apn_settings', 'check_wifi_calling_status', 'check_app_permissions']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'set_network_mode_preference', 'toggle_wifi_calling', 'reset_apn_settings', 'reboot_device', 'grant_app_permission']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None]
0,risky_ps,94,36,fddff,fdddd,False,target_post_switch,repair_all,repair_subset,19.92212,14.0,5.85052,3.0,2.0,5.0,False,False,False,True,"['can_send_mms', 'check_network_status', 'check_sim_status', 'check_wifi_calling_status']","['reseat_sim_card', 'toggle_data', 'toggle_wifi_calling']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|unseat_sim_card[PERSONA:None]
